Country,Region,Year,Infant_deaths,Under_five_deaths,Adult_mortality,Alcohol_consumption,Hepatitis_B,Measles,BMI,Polio,Diphtheria,Incidents_HIV,GDP_per_capita,Population_mln,Thinness_ten_nineteen_years,Thinness_five_nine_years,Schooling,Economy_status_Developed,Economy_status_Developing,Life_expectancy
Albania,Rest of Europe,2005,17.80 ,20.00 ,84.49 ,4.98 ,98.00 ,97.00 ,25.60 ,97.00 ,98.00 ,0.03 ,2676.00 ,3.01 ,1.80 ,1.80 ,9.10 ,0.00 ,1.00 ,75.20 
Albania,Rest of Europe,2011,10.80 ,12.10 ,80.35 ,5.03 ,99.00 ,99.00 ,26.20 ,99.00 ,99.00 ,0.03 ,3678.00 ,2.91 ,1.40 ,1.50 ,9.30 ,0.00 ,1.00 ,76.90 
Albania,Rest of Europe,2002,21.70 ,24.40 ,87.18 ,3.96 ,96.00 ,93.00 ,25.30 ,98.00 ,98.00 ,0.02 ,2247.00 ,3.05 ,2.00 ,2.10 ,9.00 ,0.00 ,1.00 ,74.60 
Albania,Rest of Europe,2015,8.50 ,9.60 ,75.21 ,4.33 ,99.00 ,98.00 ,26.60 ,99.00 ,99.00 ,0.03 ,3953.00 ,2.88 ,1.20 ,1.30 ,9.70 ,0.00 ,1.00 ,78.00 
Albania,Rest of Europe,2006,16.60 ,18.50 ,83.59 ,5.17 ,98.00 ,94.00 ,25.70 ,97.00 ,97.00 ,0.03 ,2851.00 ,2.99 ,1.70 ,1.80 ,9.20 ,0.00 ,1.00 ,75.40 
Albania,Rest of Europe,2000,24.10 ,27.20 ,94.70 ,3.92 ,96.00 ,90.00 ,25.20 ,97.00 ,97.00 ,0.01 ,1961.00 ,3.09 ,2.10 ,2.20 ,8.80 ,0.00 ,1.00 ,74.00 
Albania,Rest of Europe,2013,9.30 ,10.40 ,78.24 ,4.28 ,99.00 ,99.00 ,26.40 ,99.00 ,99.00 ,0.03 ,3781.00 ,2.90 ,1.30 ,1.40 ,9.70 ,0.00 ,1.00 ,77.60 
Albania,Rest of Europe,2001,22.90 ,25.80 ,90.94 ,4.51 ,96.00 ,90.00 ,25.20 ,97.00 ,97.00 ,0.01 ,2144.00 ,3.06 ,2.10 ,2.10 ,8.70 ,0.00 ,1.00 ,74.30 
Albania,Rest of Europe,2014,8.80 ,9.90 ,76.72 ,4.10 ,98.00 ,98.00 ,26.50 ,98.00 ,98.00 ,0.03 ,3856.00 ,2.89 ,1.20 ,1.30 ,9.70 ,0.00 ,1.00 ,77.80 
Albania,Rest of Europe,2003,20.40 ,23.00 ,86.29 ,4.33 ,97.00 ,93.00 ,25.40 ,97.00 ,97.00 ,0.02 ,2381.00 ,3.04 ,1.90 ,2.00 ,9.00 ,0.00 ,1.00 ,74.80 
Albania,Rest of Europe,2008,14.10 ,15.80 ,82.11 ,5.56 ,99.00 ,98.00 ,25.90 ,99.00 ,99.00 ,0.03 ,3298.00 ,2.95 ,1.60 ,1.60 ,9.20 ,0.00 ,1.00 ,75.90 
Albania,Rest of Europe,2004,19.10 ,21.50 ,85.39 ,4.42 ,99.00 ,96.00 ,25.50 ,98.00 ,97.00 ,0.02 ,2522.00 ,3.03 ,1.80 ,1.90 ,9.10 ,0.00 ,1.00 ,75.00 
Albania,Rest of Europe,2009,12.90 ,14.50 ,81.52 ,5.79 ,98.00 ,98.00 ,26.00 ,98.00 ,98.00 ,0.03 ,3432.00 ,2.93 ,1.50 ,1.60 ,9.30 ,0.00 ,1.00 ,76.20 
Albania,Rest of Europe,2012,10.00 ,11.20 ,79.76 ,4.43 ,99.00 ,99.00 ,26.30 ,99.00 ,99.00 ,0.03 ,3736.00 ,2.90 ,1.30 ,1.40 ,9.60 ,0.00 ,1.00 ,77.30 
Albania,Rest of Europe,2010,11.80 ,13.30 ,80.94 ,4.88 ,99.00 ,98.00 ,26.10 ,99.00 ,99.00 ,0.03 ,3577.00 ,2.91 ,1.40 ,1.50 ,9.30 ,0.00 ,1.00 ,76.60 
Algeria,Africa,2015,21.60 ,25.20 ,95.82 ,0.55 ,95.00 ,99.00 ,25.50 ,95.00 ,95.00 ,0.05 ,4178.00 ,39.73 ,6.00 ,5.80 ,7.90 ,0.00 ,1.00 ,76.10 
Algeria,Africa,2009,24.40 ,28.40 ,106.10 ,0.43 ,94.00 ,98.00 ,25.00 ,94.00 ,95.00 ,0.02 ,3851.00 ,35.33 ,6.00 ,5.90 ,6.90 ,0.00 ,1.00 ,74.60 
Algeria,Africa,2013,22.10 ,25.80 ,98.74 ,0.50 ,95.00 ,93.00 ,25.30 ,95.00 ,95.00 ,0.03 ,4043.00 ,38.14 ,5.90 ,5.80 ,7.80 ,0.00 ,1.00 ,75.70 
Algeria,Africa,2012,22.50 ,26.20 ,100.20 ,0.43 ,95.00 ,95.00 ,25.20 ,95.00 ,95.00 ,0.03 ,4012.00 ,37.38 ,5.90 ,5.80 ,7.60 ,0.00 ,1.00 ,75.40 
Algeria,Africa,2011,22.90 ,26.70 ,102.17 ,0.40 ,95.00 ,96.00 ,25.10 ,95.00 ,95.00 ,0.02 ,3957.00 ,36.66 ,5.90 ,5.80 ,7.40 ,0.00 ,1.00 ,75.20 
Algeria,Africa,2005,28.80 ,33.60 ,118.79 ,0.50 ,83.00 ,94.00 ,24.70 ,88.00 ,88.00 ,0.02 ,3752.00 ,33.15 ,6.10 ,6.00 ,6.90 ,0.00 ,1.00 ,73.10 
Algeria,Africa,2003,31.30 ,36.50 ,127.54 ,0.33 ,81.00 ,96.00 ,24.50 ,87.00 ,87.00 ,0.01 ,3490.00 ,32.26 ,6.30 ,6.10 ,6.50 ,0.00 ,1.00 ,72.10 
Algeria,Africa,2006,27.60 ,32.10 ,114.41 ,0.38 ,80.00 ,98.00 ,24.70 ,95.00 ,95.00 ,0.02 ,3760.00 ,33.64 ,6.10 ,6.00 ,7.00 ,0.00 ,1.00 ,73.50 
Algeria,Africa,2004,30.10 ,35.10 ,123.16 ,0.45 ,81.00 ,94.00 ,24.60 ,86.00 ,86.00 ,0.02 ,3593.00 ,32.69 ,6.20 ,6.10 ,6.70 ,0.00 ,1.00 ,72.60 
Algeria,Africa,2007,26.40 ,30.70 ,110.03 ,0.34 ,90.00 ,95.00 ,24.80 ,95.00 ,95.00 ,0.02 ,3828.00 ,34.17 ,6.00 ,5.90 ,7.20 ,0.00 ,1.00 ,73.90 
Algeria,Africa,2014,21.90 ,25.50 ,97.28 ,0.54 ,95.00 ,99.00 ,25.40 ,95.00 ,95.00 ,0.04 ,4112.00 ,38.92 ,6.00 ,5.80 ,7.90 ,0.00 ,1.00 ,75.90 
Algeria,Africa,2002,32.40 ,37.80 ,131.92 ,0.36 ,81.00 ,93.00 ,24.40 ,86.00 ,86.00 ,0.01 ,3298.00 ,31.86 ,6.30 ,6.20 ,6.30 ,0.00 ,1.00 ,71.60 
Algeria,Africa,2008,25.30 ,29.50 ,108.07 ,0.37 ,91.00 ,96.00 ,24.90 ,92.00 ,93.00 ,0.02 ,3856.00 ,34.73 ,6.00 ,5.90 ,6.70 ,0.00 ,1.00 ,74.30 
Algeria,Africa,2001,33.30 ,38.90 ,136.20 ,0.23 ,81.00 ,73.00 ,24.40 ,89.00 ,89.00 ,0.01 ,3163.00 ,31.45 ,6.40 ,6.30 ,6.10 ,0.00 ,1.00 ,71.10 
Algeria,Africa,2000,33.90 ,39.70 ,140.49 ,0.25 ,81.00 ,78.00 ,24.30 ,86.00 ,86.00 ,0.01 ,3111.00 ,31.04 ,6.50 ,6.40 ,5.90 ,0.00 ,1.00 ,70.60 
Algeria,Africa,2010,23.60 ,27.40 ,104.13 ,0.35 ,95.00 ,95.00 ,25.10 ,95.00 ,95.00 ,0.02 ,3918.00 ,35.98 ,5.90 ,5.80 ,7.10 ,0.00 ,1.00 ,74.90 
Angola,Africa,2002,114.50 ,191.50 ,350.83 ,2.08 ,67.00 ,64.00 ,21.90 ,22.00 ,41.00 ,1.39 ,2031.00 ,17.52 ,1.50 ,1.50 ,4.40 ,0.00 ,1.00 ,47.70 
Angola,Africa,2015,57.70 ,88.10 ,242.97 ,6.53 ,64.00 ,64.00 ,23.20 ,62.00 ,64.00 ,0.89 ,3128.00 ,27.88 ,8.30 ,8.20 ,5.00 ,0.00 ,1.00 ,59.40 
Angola,Africa,2007,90.60 ,147.00 ,297.02 ,4.68 ,73.00 ,64.00 ,22.50 ,43.00 ,73.00 ,1.45 ,2845.00 ,20.91 ,9.60 ,9.60 ,4.50 ,0.00 ,1.00 ,52.20 
Angola,Africa,2006,95.70 ,156.40 ,307.79 ,4.02 ,67.00 ,64.00 ,22.40 ,8.00 ,34.00 ,1.48 ,2589.00 ,20.15 ,9.80 ,9.70 ,4.50 ,0.00 ,1.00 ,51.10 
Angola,Africa,2001,118.20 ,198.40 ,361.13 ,1.94 ,67.00 ,64.00 ,21.80 ,28.00 ,38.00 ,1.36 ,1847.00 ,16.95 ,1.70 ,1.70 ,4.40 ,0.00 ,1.00 ,47.10 
Angola,Africa,2012,67.40 ,105.10 ,252.35 ,7.83 ,75.00 ,64.00 ,23.00 ,54.00 ,75.00 ,1.21 ,3128.00 ,25.11 ,8.80 ,8.60 ,4.80 ,0.00 ,1.00 ,57.20 
Angola,Africa,2003,110.40 ,183.80 ,340.07 ,2.20 ,67.00 ,64.00 ,22.00 ,21.00 ,40.00 ,1.43 ,2022.00 ,18.12 ,1.40 ,1.30 ,4.40 ,0.00 ,1.00 ,48.40 
Angola,Africa,2013,63.70 ,98.50 ,249.22 ,7.67 ,77.00 ,64.00 ,23.10 ,48.00 ,77.00 ,1.12 ,3169.00 ,26.02 ,8.60 ,8.50 ,4.90 ,0.00 ,1.00 ,58.10 
Angola,Africa,2014,60.50 ,92.90 ,246.09 ,8.10 ,64.00 ,64.00 ,23.20 ,55.00 ,64.00 ,0.97 ,3207.00 ,26.94 ,8.50 ,8.30 ,4.90 ,0.00 ,1.00 ,58.80 
Angola,Africa,2000,121.50 ,204.40 ,371.43 ,1.47 ,67.00 ,64.00 ,21.70 ,21.00 ,28.00 ,1.24 ,1832.00 ,16.40 ,1.90 ,1.90 ,4.40 ,0.00 ,1.00 ,46.50 
Angola,Africa,2011,71.50 ,112.50 ,261.29 ,7.66 ,72.00 ,64.00 ,22.90 ,50.00 ,71.00 ,1.25 ,2988.00 ,24.22 ,8.90 ,8.80 ,4.70 ,0.00 ,1.00 ,56.30 
Angola,Africa,2005,100.90 ,166.10 ,318.55 ,3.49 ,67.00 ,64.00 ,22.30 ,14.00 ,38.00 ,1.49 ,2407.00 ,19.43 ,1.00 ,9.90 ,4.40 ,0.00 ,1.00 ,50.20 
Angola,Africa,2008,85.50 ,137.70 ,288.09 ,5.19 ,69.00 ,64.00 ,22.60 ,36.00 ,69.00 ,1.41 ,3048.00 ,21.70 ,9.50 ,9.40 ,4.60 ,0.00 ,1.00 ,53.20 
Angola,Africa,2004,105.70 ,175.10 ,329.31 ,2.41 ,67.00 ,64.00 ,22.20 ,18.00 ,40.00 ,1.45 ,2168.00 ,18.76 ,1.20 ,1.10 ,4.40 ,0.00 ,1.00 ,49.30 
Angola,Africa,2010,75.90 ,120.40 ,270.22 ,7.58 ,77.00 ,64.00 ,22.80 ,56.00 ,77.00 ,1.33 ,2994.00 ,23.36 ,9.10 ,9.00 ,4.70 ,0.00 ,1.00 ,55.40 
Angola,Africa,2009,80.60 ,128.70 ,279.16 ,6.12 ,61.00 ,64.00 ,22.70 ,36.00 ,60.00 ,1.39 ,2962.00 ,22.51 ,9.30 ,9.20 ,4.70 ,0.00 ,1.00 ,54.30 
Antigua and Barbuda,Central America and Caribbean,2004,11.00 ,13.50 ,148.56 ,6.72 ,97.00 ,64.00 ,25.50 ,97.00 ,97.00 ,0.10 ,14400.00 ,0.08 ,3.50 ,3.40 ,9.10 ,0.00 ,1.00 ,74.80 
Antigua and Barbuda,Central America and Caribbean,2002,11.90 ,14.60 ,152.27 ,6.67 ,99.00 ,56.00 ,25.30 ,93.00 ,98.00 ,0.10 ,13171.00 ,0.08 ,3.60 ,3.50 ,9.00 ,0.00 ,1.00 ,74.40 
Antigua and Barbuda,Central America and Caribbean,2009,8.70 ,10.60 ,139.54 ,7.64 ,98.00 ,94.00 ,26.00 ,98.00 ,99.00 ,0.10 ,15402.00 ,0.09 ,3.40 ,3.30 ,9.30 ,0.00 ,1.00 ,75.70 
Antigua and Barbuda,Central America and Caribbean,2010,8.30 ,10.00 ,137.81 ,7.16 ,98.00 ,92.00 ,26.10 ,99.00 ,98.00 ,0.10 ,13987.00 ,0.09 ,3.30 ,3.30 ,9.20 ,0.00 ,1.00 ,75.80 
Antigua and Barbuda,Central America and Caribbean,2015,6.50 ,7.80 ,130.00 ,9.06 ,99.00 ,84.00 ,26.60 ,86.00 ,99.00 ,0.20 ,14285.00 ,0.09 ,3.30 ,3.30 ,9.20 ,0.00 ,1.00 ,76.50 
Antigua and Barbuda,Central America and Caribbean,2011,7.90 ,9.50 ,136.08 ,7.24 ,99.00 ,89.00 ,26.20 ,99.00 ,99.00 ,0.10 ,13525.00 ,0.09 ,3.30 ,3.30 ,9.20 ,0.00 ,1.00 ,76.00 
Antigua and Barbuda,Central America and Caribbean,2007,9.60 ,11.70 ,142.99 ,8.11 ,97.00 ,78.00 ,25.80 ,98.00 ,99.00 ,0.10 ,18062.00 ,0.08 ,3.40 ,3.30 ,9.20 ,0.00 ,1.00 ,75.40 
Antigua and Barbuda,Central America and Caribbean,2003,11.50 ,14.10 ,150.41 ,6.91 ,99.00 ,59.00 ,25.40 ,99.00 ,99.00 ,0.10 ,13793.00 ,0.08 ,3.50 ,3.50 ,9.00 ,0.00 ,1.00 ,74.60 
Antigua and Barbuda,Central America and Caribbean,2001,12.30 ,15.10 ,154.25 ,6.85 ,96.00 ,60.00 ,25.20 ,99.00 ,97.00 ,0.10 ,13220.00 ,0.08 ,3.60 ,3.50 ,8.90 ,0.00 ,1.00 ,74.20 
Antigua and Barbuda,Central America and Caribbean,2014,6.80 ,8.10 ,131.45 ,9.66 ,99.00 ,99.00 ,26.50 ,96.00 ,99.00 ,0.20 ,13909.00 ,0.09 ,3.30 ,3.30 ,9.20 ,0.00 ,1.00 ,76.30 
Antigua and Barbuda,Central America and Caribbean,2005,10.60 ,12.90 ,146.70 ,7.44 ,99.00 ,46.00 ,25.60 ,98.00 ,99.00 ,0.10 ,15122.00 ,0.08 ,3.50 ,3.40 ,9.10 ,0.00 ,1.00 ,75.00 
Antigua and Barbuda,Central America and Caribbean,2006,10.10 ,12.30 ,144.85 ,7.70 ,99.00 ,68.00 ,25.70 ,99.00 ,99.00 ,0.10 ,16786.00 ,0.08 ,3.40 ,3.40 ,9.20 ,0.00 ,1.00 ,75.20 
Antigua and Barbuda,Central America and Caribbean,2012,7.50 ,9.00 ,134.35 ,8.22 ,98.00 ,90.00 ,26.30 ,97.00 ,98.00 ,0.20 ,13803.00 ,0.09 ,3.30 ,3.30 ,9.20 ,0.00 ,1.00 ,76.10 
Antigua and Barbuda,Central America and Caribbean,2008,9.20 ,11.10 ,141.27 ,8.41 ,98.00 ,83.00 ,25.90 ,99.00 ,99.00 ,0.10 ,17771.00 ,0.09 ,3.40 ,3.30 ,9.30 ,0.00 ,1.00 ,75.50 
Antigua and Barbuda,Central America and Caribbean,2000,12.60 ,15.50 ,156.23 ,6.86 ,98.00 ,58.00 ,25.10 ,96.00 ,95.00 ,0.10 ,14070.00 ,0.08 ,3.70 ,3.60 ,7.00 ,0.00 ,1.00 ,73.90 
Antigua and Barbuda,Central America and Caribbean,2013,7.10 ,8.50 ,132.90 ,9.43 ,99.00 ,87.00 ,26.40 ,98.00 ,99.00 ,0.20 ,13554.00 ,0.09 ,3.30 ,3.30 ,9.20 ,0.00 ,1.00 ,76.20 
Argentina,South America,2014,10.80 ,12.10 ,118.54 ,7.93 ,94.00 ,96.00 ,27.50 ,92.00 ,94.00 ,0.13 ,13568.00 ,42.67 ,1.00 ,0.90 ,9.80 ,0.00 ,1.00 ,75.90 
Argentina,South America,2005,14.80 ,16.50 ,131.48 ,7.60 ,88.00 ,88.00 ,26.60 ,95.00 ,98.00 ,0.15 ,11192.00 ,38.89 ,1.10 ,1.00 ,9.10 ,0.00 ,1.00 ,74.50 
Argentina,South America,2002,16.40 ,18.30 ,136.07 ,7.81 ,66.00 ,83.00 ,26.30 ,94.00 ,93.00 ,0.15 ,8943.00 ,37.68 ,1.20 ,1.00 ,9.20 ,0.00 ,1.00 ,73.90 
Argentina,South America,2001,16.90 ,18.90 ,137.70 ,7.76 ,73.00 ,56.00 ,26.20 ,85.00 ,83.00 ,0.16 ,10146.00 ,37.28 ,1.20 ,1.10 ,9.10 ,0.00 ,1.00 ,73.80 
Argentina,South America,2012,11.90 ,13.30 ,121.23 ,8.00 ,91.00 ,89.00 ,27.30 ,90.00 ,91.00 ,0.14 ,13896.00 ,41.73 ,1.00 ,0.90 ,9.80 ,0.00 ,1.00 ,75.60 
Argentina,South America,2013,11.30 ,12.70 ,119.89 ,8.27 ,94.00 ,83.00 ,27.40 ,90.00 ,94.00 ,0.14 ,14072.00 ,42.20 ,1.00 ,0.90 ,9.80 ,0.00 ,1.00 ,75.80 
Argentina,South America,2004,15.30 ,17.10 ,133.01 ,7.63 ,81.00 ,93.00 ,26.50 ,91.00 ,98.00 ,0.15 ,10389.00 ,38.49 ,1.10 ,1.00 ,9.20 ,0.00 ,1.00 ,74.30 
Argentina,South America,2011,12.40 ,13.90 ,122.67 ,7.69 ,91.00 ,91.00 ,27.20 ,93.00 ,91.00 ,0.14 ,14200.00 ,41.26 ,1.00 ,0.90 ,9.80 ,0.00 ,1.00 ,75.40 
Argentina,South America,2006,14.40 ,16.10 ,129.95 ,7.80 ,84.00 ,91.00 ,26.70 ,92.00 ,91.00 ,0.15 ,11971.00 ,39.29 ,1.10 ,0.90 ,9.00 ,0.00 ,1.00 ,74.60 
Argentina,South America,2009,13.30 ,14.90 ,125.54 ,8.34 ,94.00 ,96.00 ,27.00 ,97.00 ,94.00 ,0.14 ,12398.00 ,40.48 ,1.00 ,0.90 ,9.30 ,0.00 ,1.00 ,75.10 
Argentina,South America,2007,14.00 ,15.70 ,128.41 ,8.16 ,85.00 ,84.00 ,26.80 ,92.00 ,91.00 ,0.15 ,12919.00 ,39.68 ,1.10 ,0.90 ,8.90 ,0.00 ,1.00 ,74.80 
Argentina,South America,2010,12.90 ,14.50 ,124.11 ,8.15 ,94.00 ,94.00 ,27.10 ,95.00 ,94.00 ,0.14 ,13551.00 ,40.79 ,1.00 ,0.90 ,9.80 ,0.00 ,1.00 ,75.30 
Argentina,South America,2015,10.20 ,11.50 ,117.19 ,8.49 ,94.00 ,87.00 ,27.60 ,93.00 ,94.00 ,0.13 ,13789.00 ,43.13 ,1.00 ,0.90 ,9.80 ,0.00 ,1.00 ,76.10 
Argentina,South America,2003,15.80 ,17.70 ,134.54 ,7.62 ,73.00 ,80.00 ,26.40 ,95.00 ,96.00 ,0.15 ,9630.00 ,38.09 ,1.20 ,1.00 ,9.30 ,0.00 ,1.00 ,74.10 
Argentina,South America,2008,13.70 ,15.30 ,126.98 ,8.42 ,90.00 ,88.00 ,26.90 ,94.00 ,93.00 ,0.15 ,13311.00 ,40.08 ,1.00 ,0.90 ,8.90 ,0.00 ,1.00 ,75.00 
Argentina,South America,2000,17.50 ,19.60 ,139.33 ,7.68 ,73.00 ,56.00 ,26.10 ,88.00 ,83.00 ,0.16 ,10731.00 ,36.87 ,1.20 ,1.10 ,9.10 ,0.00 ,1.00 ,73.60 
Armenia,Rest of Europe,2009,17.20 ,19.20 ,139.36 ,3.97 ,93.00 ,96.00 ,26.00 ,94.00 ,93.00 ,0.08 ,2884.00 ,2.89 ,2.00 ,2.10 ,11.10 ,0.00 ,1.00 ,73.10 
Armenia,Rest of Europe,2012,14.70 ,16.40 ,129.84 ,3.89 ,95.00 ,97.00 ,26.10 ,96.00 ,95.00 ,0.08 ,3313.00 ,2.88 ,2.00 ,2.10 ,11.30 ,0.00 ,1.00 ,73.80 
Armenia,Rest of Europe,2002,24.50 ,27.70 ,138.45 ,2.87 ,91.00 ,95.00 ,25.70 ,96.00 ,94.00 ,0.08 ,1619.00 ,3.03 ,2.10 ,2.10 ,10.80 ,0.00 ,1.00 ,72.10 
Armenia,Rest of Europe,2014,13.30 ,14.80 ,126.94 ,4.22 ,93.00 ,97.00 ,26.20 ,95.00 ,93.00 ,0.08 ,3511.00 ,2.91 ,2.10 ,2.10 ,11.50 ,0.00 ,1.00 ,74.30 
Armenia,Rest of Europe,2007,19.00 ,21.40 ,145.71 ,3.91 ,85.00 ,93.00 ,25.90 ,90.00 ,88.00 ,0.08 ,3093.00 ,2.93 ,2.00 ,2.10 ,11.00 ,0.00 ,1.00 ,72.80 
Armenia,Rest of Europe,2013,14.00 ,15.60 ,128.39 ,3.92 ,95.00 ,97.00 ,26.20 ,96.00 ,95.00 ,0.08 ,3407.00 ,2.90 ,2.10 ,2.10 ,11.40 ,0.00 ,1.00 ,74.10 
Armenia,Rest of Europe,2011,15.50 ,17.30 ,133.01 ,4.07 ,95.00 ,98.00 ,26.10 ,96.00 ,95.00 ,0.08 ,3099.00 ,2.88 ,2.00 ,2.10 ,11.20 ,0.00 ,1.00 ,73.60 
Armenia,Rest of Europe,2006,20.00 ,22.50 ,144.26 ,3.99 ,78.00 ,85.00 ,25.90 ,87.00 ,87.00 ,0.08 ,2697.00 ,2.96 ,2.00 ,2.10 ,10.90 ,0.00 ,1.00 ,72.70 
Armenia,Rest of Europe,2005,21.10 ,23.70 ,142.81 ,4.17 ,91.00 ,92.00 ,25.80 ,92.00 ,90.00 ,0.08 ,2364.00 ,2.98 ,2.00 ,2.10 ,10.90 ,0.00 ,1.00 ,72.60 
Armenia,Rest of Europe,2010,16.30 ,18.30 ,136.19 ,4.23 ,94.00 ,97.00 ,26.00 ,96.00 ,94.00 ,0.08 ,2959.00 ,2.88 ,2.00 ,2.10 ,11.10 ,0.00 ,1.00 ,73.30 
Armenia,Rest of Europe,2000,27.00 ,30.60 ,149.06 ,2.91 ,55.00 ,94.00 ,25.70 ,96.00 ,93.00 ,0.08 ,1290.00 ,3.07 ,2.10 ,2.20 ,10.80 ,0.00 ,1.00 ,71.40 
Armenia,Rest of Europe,2004,22.20 ,25.00 ,141.35 ,3.73 ,91.00 ,94.00 ,25.80 ,93.00 ,91.00 ,0.08 ,2062.00 ,3.00 ,2.00 ,2.10 ,10.80 ,0.00 ,1.00 ,72.50 
Armenia,Rest of Europe,2003,23.30 ,26.30 ,139.90 ,3.00 ,93.00 ,93.00 ,25.80 ,96.00 ,94.00 ,0.08 ,1856.00 ,3.02 ,2.00 ,2.10 ,10.80 ,0.00 ,1.00 ,72.30 
Armenia,Rest of Europe,2015,12.60 ,14.10 ,125.49 ,4.04 ,94.00 ,97.00 ,26.30 ,96.00 ,94.00 ,0.09 ,3607.00 ,2.93 ,2.10 ,2.20 ,11.60 ,0.00 ,1.00 ,74.50 
Armenia,Rest of Europe,2001,25.70 ,29.10 ,143.76 ,2.87 ,69.00 ,96.00 ,25.70 ,97.00 ,94.00 ,0.08 ,1422.00 ,3.05 ,2.10 ,2.10 ,10.70 ,0.00 ,1.00 ,71.80 
